Time_s,Avg_Speed_mps,Rep_Speed_mps
159,12.4462351284295,11.0076318423824
160,12.3319986010356,10.3920261329631
161,12.1984639537637,9.77642042354382
162,12.0309028467778,9.16081471412453
163,11.9319896955196,8.54520900470524
164,11.8427769653281,7.92960329528595
165,11.7588507206135,7.31399758586666
166,11.6228508447307,6.69839187644737
167,11.5136234274345,6.3575231584417
168,11.4236873572496,6.20956791155015
169,11.3337512870648,6.06161266465861
170,11.2840193562292,5.91365741776706
171,11.2439455370305,5.76570217087551
172,11.2038717178317,5.61774692398396
173,11.1573672816923,5.46979167709241
174,11.0951816019423,5.32183643020087
175,11.0329959221923,5.17388118330932
176,10.9708102424423,5.02592593641777
177,10.9086245626923,4.87797068952622
178,10.8279944504471,4.73001544263467
179,10.7559808722596,4.58206019574313
180,10.7033198224199,4.43410494885158
181,10.6889166609385,4.28614970196003
182,10.7115154488337,4.13819445506848
183,10.7513466829969,3.99023920817694
184,10.79117791716,3.84228396128539
185,10.775693005773,3.69432871439384
186,10.6774613532817,3.54637346750229
187,10.5792297007904,3.39841822061074
188,10.4977936703274,3.2504629737192
189,10.4171284760396,3.10250772682765
190,10.3364632817519,2.9545524799361
191,10.2054162970389,2.80659723304455
192,10.0610322222915,2.658641986153
193,9.91731321696926,2.51068673926146
194,9.77893727368695,2.36273149236991
195,9.68968269442543,2.21477624547836
196,9.6555012162994,2.06682099858681
197,9.62131973817338,1.91886575169526
198,9.58713826004735,1.77091050480372
199,9.53035478907106,2.10621391152239
200,9.46781956872022,2.52105766152239
201,9.36175329855998,2.93590141152239
202,9.17888937685253,3.35074516152239
203,9.03478480153104,3.76558891152239
204,8.92578162607002,4.18043266152239
205,8.81677845060901,4.59527641152239
206,8.707775275148,5.01012016152239
207,8.59877209968699,5.42496391152239
208,8.48976892422598,5.83980766152239
209,8.38076574876497,6.25465141152239
210,8.27176257330396,6.66949516152239
211,8.16163084910207,7.08433891152239
212,8.08056176591192,7.49918266152239
213,8.03084578914347,7.91402641152239
214,8.00419061493464,8.32887016152239
215,8.01483371327795,8.74371391152238
216,8.02547681162126,9.15855766152239
217,8.03242702030314,9.57340141152238
218,8.03705219770019,9.98824516152238
219,8.04167737509724,10.4030889115224
220,8.05204035542714,10.8179326615224
221,8.12428460431677,11.2327764115224
222,8.1965288532064,11.6476201615224
223,8.26877310209603,12.0624639115224
224,8.32095345399735,12.4773076615224
225,8.36575750232449,12.8921514115224
226,8.41653611543384,13.3667408093444
227,8.46941361627592,13.8623190844937
228,8.52229111711799,14.3578973596431
229,8.57516861796008,14.8534756347924
230,8.62804611880215,15.3490539099418
231,8.6578565782534,15.8446321850911
232,8.71302491382936,16.3402104602405
233,8.77536333976223,16.8357887353898
234,8.85917167998877,17.3313670105392
235,8.94298002021531,17.8269452856885
236,9.02678836044185,18.3225235608379
237,9.09119989127774,18.6241337420807
238,9.14294566996032,18.5833312726209
239,9.20186014862385,18.5425288031612
240,9.26077462728738,18.5017263337014
241,9.31968910595091,18.4609238642417
242,9.37860358461444,18.4201213947819
243,9.43751806327797,18.3793189253222
244,9.52647808839215,18.3385164558624
245,9.64859718152502,18.2977139864026
246,9.78933641715536,18.2569115169429
247,9.9300756527857,18.2161090474831
248,10.070814888416,18.1753065780234
249,10.2115541240464,18.1345041085636
250,10.3485672350732,18.0937016391039
251,10.3563093145868,17.4154278307963
252,10.342334021882,16.5199803003044
253,10.3374492432382,15.6245327698125
254,10.3373070914874,14.7290852393206
255,10.3173296963879,13.8336377088288
256,10.2855261450093,12.9381901783369
257,10.2537225936307,12.042742647845
258,10.2219190422522,11.1472951173531
259,10.1931336518573,10.2518475868613
260,10.1541529582967,9.35640005636937
261,10.1274237110762,8.4609525258775
262,10.1178039471063,7.56550499538562
263,10.1081841831364,6.67005746489374
264,10.1954405634264,6.28146217909298
265,10.3168191912862,6.15985724081111
266,10.4032547104524,6.03825230252924
267,10.4576644546582,5.91664736424738
268,10.4910535885045,5.79504242596551
