index,MASS,HW,RRC,Ta,Tb,SoC_pct,BAge_pct,MR_mOhm,AUX_kW,BR_pct,energy_kwh,energy_kwh_per_km,regen_pct,distance_km
11,5325.805194675922,3.1035866402089596,0.006550100337713957,13.400388569571078,20.9198434073478,66.73387344926596,11.026186533272266,55.929714396595955,4.624433536082506,132.84168406389654,1903.6584041051278,473.45472845611897,7.430794156483989,4.020782325509215
12,3202.0975393243134,-4.469122756272554,0.011847088878974319,33.42952627222985,32.43392628617585,90.38825733587146,6.665850002318621,51.586809657514095,2.24996005743742,100.94781955704093,1112.2705756827006,276.6303882272056,6.484053286479957,4.020782325509215
13,2862.0967655442655,4.0579115226864815,0.00967213587462902,31.58719627186656,34.405081851407886,80.01470863819122,12.974216677248478,54.30124422907829,4.45489801466465,146.0945537313819,1680.6513500660856,417.99113058258837,2.877708314363694,4.020782325509215
14,5665.552916936576,-3.5538579896092415,0.008687699915841222,11.583661092445254,18.375877572223544,50.54340185597539,9.873612094670534,50.207622326910496,2.8294022046029568,112.69311388023198,1525.1786025217127,379.32384273713586,10.126191539133657,4.020782325509215
15,4368.319223169237,0.8645303454250097,0.011082810636609793,24.558398630470037,25.776891122572124,73.57084392569959,18.139114025980234,53.72877638041973,1.6733629554510117,107.90194501169026,1292.603789467447,321.480668392996,6.952531321647459,4.020782325509215
16,4104.041727259755,-1.6886452678591013,0.00728581421636045,18.60939803533256,27.014606813900173,94.49012470431626,3.778701238334179,57.760406367480755,3.0479432605206966,125.88591333478689,1303.3701161551103,324.15833801449173,8.904442318857495,4.020782325509215
17,4153.959320858121,1.2255259044468403,0.010307419454678893,34.40801914781332,21.65204092208296,52.217610739171505,7.778683267533779,53.858383506536484,3.8095629177987576,112.01659408397973,1679.6211653521723,417.73491558995437,5.288205562569213,4.020782325509215
18,4319.008911494166,-1.3386385701596737,0.008104418378323316,15.155507707968354,31.039843016304076,78.1726504676044,14.678043816238642,57.6387929096818,1.4339600950479507,128.4137250855565,1041.0000550158566,258.9048525236985,10.818480775482978,4.020782325509215
19,5701.077240519226,4.321250701323152,0.011712237345054746,27.376073636114597,30.01331016048789,95.77068532817066,3.5689997859299183,54.17261151969433,2.090487625449896,148.81768990308046,1781.6216472975764,443.10323291921594,5.992461517926956,4.020782325509215
20,2825.9505569003522,-3.2624448742717505,0.0066966708004474644,22.19049603678286,22.66803627833724,72.11633645929396,19.20862901955843,50.3282575532794,4.715052828192711,116.61243853159249,1426.849442047398,354.86861176119345,5.995287873806651,4.020782325509215
21,3360.535849351436,2.736506564542651,0.00882255127094686,17.63634101022035,24.913157775998116,57.48977749608457,0.5168394930660725,55.55932331085205,2.9864025339484215,137.07666299305856,1370.7649608827348,340.9199628107531,5.0259759987302495,4.020782325509215
22,5166.265599429607,-4.80812412686646,0.009525565948337316,22.796317762695253,28.27459268271923,86.96126383729279,17.41627637296915,51.96519822627306,4.361868012696505,103.35162980481982,1783.9984445720993,443.6943609838823,7.827450314862886,4.020782325509215
23,4853.821269702166,2.1798495948314667,0.007408958645537496,10.602830131538212,33.54228885937482,88.9367327094078,5.6745172664523125,52.471200063824654,3.1428424045443535,123.75578535720706,1538.8569321618484,382.7257502597977,8.00295850072936,4.020782325509215
24,3619.374562986195,-0.4233749955892563,0.010924510136246682,29.832889339886606,19.63939778972417,68.0175599642098,11.314222756773233,56.002326630055904,1.5184145160019398,141.6726981755346,1091.6257315888402,271.49585409366586,6.9418979234216245,4.020782325509215
